Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),3D printing resin type (product.metafields.shopify.3d-printing-resin-type),Bed leveling type (product.metafields.shopify.bed-leveling-type),Color (product.metafields.shopify.color-pattern),Compatible filament (product.metafields.shopify.compatible-filament),Component package type (product.metafields.shopify.component-package-type),Connection type (product.metafields.shopify.connection-type),Enclosure type (product.metafields.shopify.enclosure-type),Finish (product.metafields.shopify.finish),Material (product.metafields.shopify.material),Memory technology (product.metafields.shopify.memory-technology),Print technology (product.metafields.shopify.print-technology),Printer functions (product.metafields.shopify.printer-functions),Recommended age group (product.metafields.shopify.recommended-age-group),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
anycubic-water-wash-resin-2-0-1kg,Anycubic Water-Wash Resin 2.0 1kg,"<h6 class=""text-main fw-small"">Product Features</h6>
<p class=""desc text-sm text-main text-line-clamp-2 text-align-last-end""><span class=""text-primary"">•</span><span> </span>Version 2.0 formula — stronger, faster, more stable</p>
<p class=""desc text-sm text-main text-line-clamp-2 text-align-last-end""><span class=""text-primary"">•</span><span> </span>Water washable — no alcohol needed</p>
<p class=""desc text-sm text-main text-line-clamp-2 text-align-last-end""><span class=""text-primary"">•</span><span> </span>HD gray color enhances detail visibility</p>
<p class=""desc text-sm text-main text-line-clamp-2 text-align-last-end""><span class=""text-primary"">•</span><span> </span>Low shrinkage and low odor</p>
<p class=""desc text-sm text-main text-line-clamp-2 text-align-last-end""><span class=""text-primary"">•</span><span> </span>Compatible with 365–405 nm UV printers<br></p>
<div class=""accordion-title"" data-bs-target=""#feature"" data-bs-toggle=""collapse"" aria-expanded=""true"" aria-controls=""feature"" role=""button"">
<span>Features</span><span class=""icon icon-arrow-down""></span>
</div>
<div id=""feature"" class=""collapse show"">
<div class=""accordion-body widget-desc"">
<div class=""item"">
<ul class=""item"">
<li>【Super Easy to Clean】Anycubic Water Washable Resin 2.0 contains hydrophilic groups with good water solubility, which is can be directly cleaned with water instead of alcohol and greatly save the cost of alcohol use. Besides, it can also be cleaned by Anycubic Wash and Cure Machine or ultrasonic cleaning.</li>
</ul>
</div>
<div class=""item"">
<ul class=""item"">
<li>【Anti-Yellowing &amp; Stay Vibrant】The upgraded formula for Anycubic Water Washable Resin 2.0 ensures models retain vibrant colors even after prolonged exposure, a breakthrough particularly effective for White and Transparent resins.</li>
</ul>
</div>
<div class=""item"">
<ul class=""item"">
<li>【Lower Shrinkage Rate &amp; High Precision Models】With a precision of up to 0.15mm, Anycubic Water Washable Resin 2.0 perfectly meets the extreme demands for detail in miniature models.</li>
</ul>
</div>
<div class=""item"">
<ul class=""item"">
<li>【High-Resilience &amp; Less Prone to Cracking】 An impressive elongation rate of 16.62% ensures cured models are highly flexible, long lasting and resistant to cracking.</li>
</ul>
</div>
<div class=""item"">
<ul class=""item"">
<li>【Less Odor for Indoor Use】 The optimized formula making Anycubic 3D Printer Resin Water Washable significantly reduces resin odor during storage and printing, ensuring a more comfortable printing experience.</li>
</ul>
</div>
<div class=""item"">
<ul class=""item"">
<li>【Low Viscosity &amp; High Print Success Rates】The enhanced platform adhesion provides stable, high quality prints with high print success rates.</li>
</ul>
</div>
<div class=""item"">
<ul class=""item"">
<li>【High Compatibility】 Anycubic Water Washable Resin 2.0 is compatible with a wide range of LCD and DLP 3D printers operating within the 365-405nm wavelength, our resin offers seamless integration with most printers on the market.</li>
</ul>
</div>
</div>
</div>",3D Galaxy ,"Electronics > Print, Copy, Scan & Fax > 3D Printer Accessories > Resins",,,True,Color,clear,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,5.0,deny,manual,1999.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/water.webp?v=1783164472,1.0,,False,,,499682.0,,,,,,,,,,,,standard,,clear; white,,,,,matte,resin,,stereolithography,,,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/water.webp?v=1783164472,kg,,,True,,,True,,,active
anycubic-water-wash-resin-2-0-1kg,,,,,,,,,white,,,,,,,,,0.0,shopify,5.0,deny,manual,1999.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/white_b64646d6-9b10-4ae8-9bd8-d1118de117fd.webp?v=1783164574,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/white_b64646d6-9b10-4ae8-9bd8-d1118de117fd.webp?v=1783164574,kg,,,,,,,,,
anycubic-water-wash-resin-2-0-1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/water2.webp?v=1783164472,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anycubic-water-wash-resin-2-0-1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/water4.webp?v=1783164472,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anycubic-water-wash-resin-2-0-1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/water3.webp?v=1783164472,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anycubic-water-wash-resin-2-0-1kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/water5.webp?v=1783164472,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elegoo-water-washable-resin-v2-0,ELEGOO Water-Washable Resin V2.0,"<h1><span>ELEGOO Water-Washable Resin V2.0</span></h1>
<p><span>Experience cleaner and more convenient 3D printing with </span><strong><span>ELEGOO Water-Washable Resin V2.0</span></strong><span>. Designed for LCD and DLP resin 3D printers operating at 405 nm, this upgraded resin delivers exceptional print quality while simplifying post-processing with water instead of alcohol.<br><br><img src=""https://protomont.com/wp-content/uploads/2025/07/imgi_238_ELEGOO-Water-Washable-V2.0-3D-Printer-Resin-PC.jpeg"" alt=""ELEGOO Water-Washable Resin V2.0"" width=""428"" height=""218""></span><br></p>
<h3>Key Features of ELEGOO Water-Washable Resin V2.0</h3>
<p><strong>1. Water-Washable Formula</strong><span> </span>No more chemical hassles. This resin can be easily rinsed with ordinary tap water, making post-processing safer and more convenient. Ideal for homes, schools, and office setups.</p>
<p><strong>2. High Print Precision</strong><span> </span>The low viscosity and refined chemical composition of ELEGOO Water-Washable Resin V2.0 enable the printing of extremely fine details. Your miniatures, engineering models, and design prototypes come out with sharp features and minimal distortion.</p>
<p><strong>3. Fast UV Curing</strong><span> </span>Designed for use with 405nm UV light, the resin cures quickly and efficiently, improving production time without sacrificing quality. A great option for batch printing and time-sensitive projects.</p>
<p><strong>4. Low Odor and Safer for Indoor Use</strong><span> </span>Unlike conventional resins that emit strong chemical smells, ELEGOO’s upgraded formula ensures a more pleasant printing experience, even in enclosed workspaces.</p>
<p><strong>5. Broad Compatibility</strong><span> </span>ELEGOO Water-Washable Resin V2.0 is compatible with a wide range of 3D printers, including:<span> </span><strong>ELEGOO Mars, Saturn, Jupiter Series,<span> </span></strong><strong>Anycubic Photon Mono, M3, M5 Series,<span> </span></strong><strong>Phrozen Series,<span> </span></strong><strong>Creality Series and<span> </span></strong><strong>Other LCD, MSLA, and DLP printers using 405nm UV wavelength<br></strong><br></p>",3D Galaxy ,"Electronics > Print, Copy, Scan & Fax > 3D Printer Accessories > Resins",,,True,Color,skin,product.metafields.shopify.color-pattern,,,,,,,,1200.0,shopify,5.0,deny,manual,1799.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/ELEGOO-WATERWASHABLE-SKIN.webp?v=1783163697,1.0,,False,,,499682.0,,,,,,,,,,,,standard; general-purpose,,skin; yellow; ceramic-grey; mint-green-1,,,,,matte,resin,,stereolithography,,,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/ELEGOO-WATERWASHABLE-SKIN.webp?v=1783163697,kg,,,True,,,True,,,active
elegoo-water-washable-resin-v2-0,,,,,,,,,yellow,,,,,,,,,1200.0,shopify,5.0,deny,manual,1799.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/ELEGOO-WATERWASHABLE-YELLOW.webp?v=1783164006,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/ELEGOO-WATERWASHABLE-YELLOW.webp?v=1783164006,kg,,,,,,,,,
elegoo-water-washable-resin-v2-0,,,,,,,,,ceramic-grey,,,,,,,,,1200.0,shopify,5.0,deny,manual,1799.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/WATERWASHABLE-RESIN.webp?v=1783164006,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/WATERWASHABLE-RESIN.webp?v=1783164006,kg,,,,,,,,,
elegoo-water-washable-resin-v2-0,,,,,,,,,mint-green-1,,,,,,,,,1200.0,shopify,5.0,deny,manual,1799.0,,True,True,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/ELEGOO-WATERWASHABLE-MINT-GREEN.webp?v=1783164006,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0848/9943/0675/files/ELEGOO-WATERWASHABLE-MINT-GREEN.webp?v=1783164006,kg,,,,,,,,,
